;text
879;Dans résidence sécurisée avec piscine - Excellent état pour ce 3 pièces traversant en étage élevé - Grande pièce à vivre avec cuisine américaine équipée, deux chambres, salle de bain avec fenêtre, toilette indépendant. Nombreux rangements. Une loggia et une terrasse. Garage en sous-sol et cave complètent son confort. Eau froide, eau chaude et chauffage inclus dans les charges. Contactez l'agence ou Nicolas au 06 19 606 604.
880;COUP DE COEUR DOMAINE PRIVEE DE GAIRAULT: dernière opportunité pour ce magnifique appartement en RDJ de 130m2. Tout juste livré!!! Au coeur d'un parc privée de 5ha, appartement T4 avec jardin d'une surface de 290m2 vue mer panoramique. Composé d'un séjour et cuisine ouverte d'une surface de 50m2, d'une chambre Master avec dressing et SDB, deux chambres et SDE. Cadre idyllique et très recherché, tennis, piscine chauffée, practice Golf, sauna, salle de fitness, service conciergerie... Prestation haut de gamme Bien soumis au statut juridique de la Copropriété. Nb de lots : 25. Honoraires charge vendeur COMPTOIR IMMOBILIER DE FRANCE - Julie AVINENT - 06 28 72 40 85 - Plus d'informations sur www.cif-immo.com (réf. 12570 GAIRAULT T4 (A3)) -- Informations CORONAVIRUS : Nos visites s'effectueront avec la mise en place d'un protocole sanitaire, notamment avec le port d'un masque et dans le respect des gestes barrières, afin d'assurer la protection de tous. --
881;Le Cannet limite Cannes La Bocca, proche commerces, écoles : appartement de 3 pièces traversant Est/Ouest, composé d'une entrée, cuisine équipée indépendante, séjour avec balcon, 2 chambres, placards, parking privatif. Résidence fermée. proche tous commerces , supermarchés, écoles. Copropriété de 297 lots (Pas de procédure en cours). Charges annuelles : 2400 euros. Serge PRUNELLE Agent Commercial - Numéro RSAC : 833748486 - CANNES
882;Antibes, Quartier résidentiel de la Badine, Dans petite résidence à l'architecture contemporaine, de seulement 8 logements d'exception, très bel appartement T3 de 77m2 avec terrasse et jardin. Cet appartement exposé Sud Est, tres lumineux de part ses grandes baies vitrées, se compose d'un sejour cuisine US, d'une chambre master avec dressing et SDE, et d'une deuxieme chambre avec SDB.Jolies prestations. Une piscine est accessible aux copropriétaires. Ce bien d'exception est vendu avec un parking en sous sol. Bien soumis au statut juridique de la Copropriété. Nb de lots : 8. Honoraires charge vendeur COMPTOIR IMMOBILIER DE FRANCE - Julie AVINENT - 06 28 72 40 85 - Plus d'informations sur www.cif-immo.com (réf. 12643 T3 JDL (01)) -- Informations CORONAVIRUS : Nos visites s'effectueront avec la mise en place d'un protocole sanitaire, notamment avec le port d'un masque et dans le respect des gestes barrières, afin d'assurer la protection de tous. --
883;Magnifique appartement deux pièces de 31m2 situé en plein coeur de Cannes Meynadier, un quartier tout à pied à 500m du palais des festivals 200m du vieux port et du Suquet.....Entièrement refait à neuf, cet appartement offre : un lumineux salon, une chambre cosy, une cuisine ouverte aménagée et équipée, une salle d'eau.....Investissement locatif à fort rendement annuel soit plus de 21000 euros.....Au plaisir de vous faire visiter ce bien !....Pour tous renseignements et visites, veuillez contacter monsieur PRUD'HOMME Michaël, agissant sous le statut d'agent commercial immatriculé au RSAC sous le n° 512145657 - Mandat n°226504...Prix: 245000euros honoraires à charge vendeur...DPE non réalisable engagement des réalisations des la reprise des diagnostics.....Téléphone : 07 64 42 68 70..E-mail : m.prudhomme@proprietes-privees.com....SAS PROPRIETES PRIVEES - Zac du Chêne Ferré - 44 allée des Cinq Continents 44120 VERTOU - Carte professionnelle CPI 4401 2016 000 010 388 CCI Nantes-Saint Nazaire. RC NANTES 487 624 777
884;CANNES STANISLAS : Situé entre le Lycée Stanislas et l'Hôpital de Cannes et dans une Résidence de standing sécurisée avec gardien, au grand calme avec superbe VUE dégagée citadine, MER et ILES DE LERENS, venez visiter ce grand 3 pièces traversant d'env 84 m2 (env 80 m2 Carrez avec loggia fermée de 4m2), belle terrasse de 15m2 (profondeur 1,90m), cave et garage en sous-sol.....Il comprend : Une entrée, une cuisine équipée avec loggia fermée intégrée, séjour (24 m2) avec vue mer, 2 chambres (12 et 14m2) dont une avec vue mer, une salle de bains, une salle d'eau, un wc indépendant, une terrasse, une cave et un garage fermé en sous-sol.....Prévoir un rafraichissement.....De la terrasse vous profiterez pleinement des superbes feux d'artifices de l'été...Vous serez à env 15mn à pied des plages de Cannes et tout proche de commerces et de stations de bus.....Vente URGENTE, prix négociable...A voir absolument Nombre de lots de la copropriété : 130, Montant moyen annuel de la quote-part de charges (budget prévisionnel)(Copropriété, gardien, eau froide, eau chaude) : 2800€ soit 233€ par mois. Les honoraires sont à la charge du vendeur. Réseau Immobilier CAPIFRANCE - Votre agent commercial Daniel UGUEN 06 19 99 05 40 - Plus d'informations sur le site de CAPIFRANCE (réf.695951)
885;ANTIBES, Dans un environnement calme et sécurisé , Tennis , Piscine, parc arboré et Gardien...Très beau 4pièces climatisé, rénové avec gout.....Il est composé d'un spacieux et lumineux salon-séjour, donnant sur une belle loggia idéalement exposée, d'une cuisine aménagée et équipée donnant sur un balcon ou vous pourrez y installer sèche-linge et barbecue.....Pour le coin nuit, il dispose de 3 belles chambres dont attenant un dressing tout équipée , et toutes avec de grands placards, d'une salle de bains et d'un WC indépendant.....Pour le stationnement, un garage de 14 m², ainsi que beaucoup de places de parking visiteurs...Une cave de 4m² saine et sèche vient compléter ce bien.....proche toutes commodités, transport , axe routier ,je vous invite sans tarder à visiter ce bien vous et votre famille.....Secteur Juan-les-pins, Sophia-Antipolis, Biot, Cannes,Villeneuve-loubet Nombre de lots de la copropriété : 580, Montant moyen annuel de la quote-part de charges (budget prévisionnel)(eau froide,parties communes,ascenseur,gardien,tennis,piscine,espaces verts) : 3000€ soit 250€ par mois. Les honoraires sont à la charge du vendeur. Réseau Immobilier CAPIFRANCE - Votre agent commercial Frantz LEBERT 06 86 56 33 23 - Plus d'informations sur le site de CAPIFRANCE (réf.696412)
886;Dans résidence très haut de gamme, magnifique T2 ouvert sur grande terrasse plein Sud avec vue partielle Mer...Prestations luxueuses pour ce bien d'exception en parti meublé, très lumineux et au Calme, tout en étant à 50m de la Croisette...Une jolie entrée dessert le vaste séjour ainsi que la cuisine entièrement équipée (Bosch et Miel)...Tous deux sortent par de grandes baies vitrées sur la terrasse ensoleillée avec vue sur les magnifiques Palmiers du jardin de la résidence...Le couloir, jalonné de grandes penderies, vous conduit à la chambre aux généreux volumes et à sa salle de bain avec douche Italienne...Volets roulants électriques, double vitrage, Climatisation, porte blindée, Bâche terrasse électrique.....Toutes les commodités vous accompagnent au sein de cette résidence, Gardien, Cave, Parking en sous-sol avec accès direct ascenseur...Venez découvrir ce bijoux niché dans un écrin de verdure et à la fois proche de la Croisette et des commerces !.. Nombre de lots de la copropriété : 180, Montant moyen annuel de la quote-part de charges (budget prévisionnel)(Eau froide, eau chaude, Chauffage, Gardien) : 2156€ soit 179€ par mois. Les honoraires d'agence sont à la charge de l'acquéreur, soit 4,05% TTC du prix du bien. Réseau Immobilier CAPIFRANCE - Votre agent commercial Sabine LACOSTE 06 95 10 97 90 - Plus d'informations sur le site de CAPIFRANCE (réf.696138)
887;EXCLUSIVITE Dans résidence fermée à deux pas de l'autoroute et du terminal du tramway, très beau 2 Pièces 57m2 entièrement refait à neuf. Le bien est composé d'une entrée avec placard, un grand séjour avec cuisine ouverte donnant sur balcon filant au sud, une chambre au calme, un WC, une salle d'eau, un dressing. Appartement baigné de lumière, climatisation, double vitrage, porte blindée. Exposition Sud et Nord. Prestation de qualité ! Aucun travaux à prévoir ! Dépendance : Cave et local à 2 roues. Bien soumis au statut juridique de la Copropriété. Charges annuelles de copropriété (Montant moyen annuel quote-part du budget prévisionnel vendeur) : 1 879 ?. Honoraires charge vendeur GROUPE VEALYS - LESPERT Magali - 06 16 98 44 45 - Plus d'informations sur www.vealys.eu (réf. 060201696) Surface CARREZ : 56.57 m²
888;En exclusivité, villa idéalement située au calme dans un domaine très recherché à Mougins, sans aucun vis-à-vis. Accès très simple, domaine sécurisé doté d'un système de vidéosurveillance. Très beau terrain plat avec une piscine, magnifiques terrasses, belles haies hautes.Bel emplacement à proximité de l'école internationale de Mougins, à 5 minutes de l'autoroute et à 15 minutes des plages de Cannes.La villa nécessite une rénovation complète. Possibilité d'agrandissement et d'élévation de la maison. Très gros potentiel dans ce secteur hyper recherché.
889;Quartier Ile Verte, très apprécié par les familles pour sa proximité de Sophia, écoles, collège, lycée, transports, commerces, jolie villa lumineuse, mitoyenne, édifiée sur terrain plat. 2 espaces de jardin: un avec une mini-piscine, un beau jardin et une belle terrasse. Le 2ème avec une terrasse, un coin potager, un chalet en bois et une grande véranda. Au RDC : un salon/séjour lumineux avec une cheminée donnant sur une grande terrasse/jardin, cuisine indépendante, un espace bureau et un wc indépendant. Au 1er étage, 3 chambres dont une avec balcon, une salle de bains avec Wc et une salle d'eau. Un garage aménagé pouvant faire office de bureau ou d'un studio indépendant. Accès à la piscine du lotissement. De faibles charges et un bien de qualité, à découvrir?!
890;Ravissant appartement de deux pièces sur un secteur tout à pied (meynadier) à quelques centaines de mètres du palais des festivals, du vieux port et du Suquet.....Tout à pied et agréable à vivre, cet appartement offre : une cuisine aménagée équipée et ouverte sur salon, une chambre et une salle d'eau.....Idéal pour un investissement locatif avec un rendement annuel de plus de 20000 euros.....A venir visiter au plus vite !....Pour tous renseignements et visites, veuillez contacter monsieur PRUD'HOMME Michaël, agissant sous le statut d'agent commercial immatriculé au RSAC sous le n° 512145657 - Mandat n°227039..Prix : 240000 euros, honoraires à charge vendeur.....Téléphone : 07 64 42 68 70..E-mail : m.prudhomme@proprietes-privees.com....SAS PROPRIETES PRIVEES - Zac du Chêne Ferré - 44 allée des Cinq Continents 44120 VERTOU - Carte professionnelle CPI 4401 2016 000 010 388 CCI Nantes-Saint Nazaire. RC NANTES 487 624 777
891;Magnifique appartement 2 pièces de 44m2 situé à Cannes sur le secteur du Riou, proche du centre ville à pied avec une belle vue dégagée et une hauteur sous plafond de 3.30m.....Exposé Sud et entièrement rénové avec goût, cet appartement offre :....Un hall d'entrée avec rangement, une cuisine aménagée / équipée ouverte sur le séjour, une chambre avec rangement, une salle de bains et un WC.....Une place de parking privative dans la résidence vient compléter ce bien.....Très lumineux, au calme et proche de tout, cet appartement saura vous séduire.....A visiter !....Michaël PRUD'HOMME..07 64 42 68 70....Pour tous renseignements et visites, veuillez contacter monsieur PRUD'HOMME Michaël, agissant sous le statut d'agent commercial immatriculé au RSAC sous le n° 512145657 - Mandat n°246934..Prix : 234000 euros, honoraires à charge vendeur.....Téléphone : 07 64 42 68 70..E-mail : m.prudhomme@proprietes-privees.com....SAS PROPRIETES PRIVEES - Zac du Chêne Ferré - 44 allée des Cinq Continents 44120 VERTOU - Carte professionnelle CPI 4401 2016 000 010 388 CCI Nantes-Saint Nazaire. RC NANTES 487 624 777
892;Co-EXCLUSIVITE, Situé dans la rue piétonne au coeur de Cannes, superbe 3 pièces, traversant et climatisé au 3éme étage d'un petit immeuble provençal de 1850. Séjour - cuisine 26m², 2 chambres, une salle de douche et W.C indépendant, nombreux rangements. Idéale pour une résidence secondaire ou placement locatif saisonnier, à de 50m du Marché Forville, du Vieux Port et ses restaurants, à 250m de la rue d'Antibes, du Palais des Festivals et de la Croisette !!! vendu meublé et équipée.....Proposé par David BENICHOU 07.60.17.88.22, d.benichou@proprietes-privees.com, agissant sous le statut de conseiller immobilier indépendant auprès de la SAS PROPRIETES PRIVEES ,..RSAC : 420 479 297..Numéro de mandat : 252959..Prix 370 000 euros honoraires charge acquéreurs, 4,52% soit 354 000 euros hors honoraires.. dont 4.52 % honoraires TTC à la charge de l'acquéreur...Copropriété de 20 lots ()..... Charges annuelles : 1140 euros.
893;"Appartement 2 /3 pièces 46m2 Terrasse 17m2 avec..Parking,ascenseur au 2/3 étage d une résidence récente de..standing sécurisée Parc arboré Piscine Secteur Croix des..gardes..L appartement se compose d une cuisine entièrement équipée,..séjour, salle de bain, WC, 1 chambre avec grand dressing, 1..bureau (chambre)avec dressing, une grande terrasse de 17 m2..avec vue dégagée Pas de vis à vis Une place de parking complète..ce bien..Proche de toutes commodités ( Bus , commerces, école, etc )..Charges annuelles 1350euros..Taxe Foncière 760euros..mandat numéro 244961..budget 239000euros dont 6% TTC a la charge de acquéreur soit 224 660euros..hors honoraires... Pour visiter et vous accompagner dans votre projet contactez Mr Pierre -Alexandre Carlen agissant sous le statut de conseiller immobilier au 06.71.99.19.33 ou mail pa.carlen@proprietes-privees.com Retrouvez nos annonces sur notre site www.proprietes-privees.com Ventes, Estimation gratuites. Le professionnel Vous conseil, garantit et sécurise votre projet immobilier...SAS PROPRIETES-PRIVEES 15 rue de l'atlantique 44115 basse goulaine- Carte professionnelle de transaction CPI 44012016000010388 délivrée par la préfecture de Nantes ; SIRET n°487624777 garantie auprès de GALIAN 89 rue de la Boétie 75008 PARIS n°28137 pour 500000euros ; Titulaire d'une carte RCP auprès de MMA N°120137405.. dont 6.38 % honoraires TTC à la charge de l'acquéreur...Copropriété de 78 lots ()..... Charges annuelles : 1200 euros."
894;"dans une résidence de standing T 3, 2 chambres avec dressing, grand balcon, tout est neuf et..date avril 2019, plomberie, électricité, fenêtres double vitrage, volets roulants élect., etc... grande douche 1m10, double vasques, sèche serviettes, cuisine équipée, pompe chaleur..réversible, grande cave et box, carrelage au sol dans toutes les pièces. Charge 90 euros mois..(nettoyage commun, jardinier ascenseur et eau froide)...Grand balcon vue mer...Idéal pour tout faire à pieds tous commerces, médecins, pharmacie, labo etc.....Plage, port et palais festival 1 km 200. 1/4 heure à pied...Appartement au calme dans une impasse tout en étant à quelques pas de la Croisette...mandat numéro 241097..budget 357 000euros dont 5% TTC a la charge de acquéreur soit 340 000euros..hors honoraires.. Pour visiter et vous accompagner dans votre projet contactez Mr Pierre -Alexandre Carlen agissant sous le statut de conseiller immobilier au 06.71.99.19.33 ou mail pa.carlen@proprietes-privees.com Retrouvez nos annonces sur notre site www.proprietes-privees.com Ventes, Estimation gratuites. Le professionnel Vous conseil, garantit et sécurise votre projet immobilier...SAS PROPRIETES-PRIVEES 15 rue de l'atlantique 44115 basse goulaine- Carte professionnelle de transaction CPI 44012016000010388 délivrée par la préfecture de Nantes ; SIRET n°487624777 garantie auprès de GALIAN 89 rue de la Boétie 75008 PARIS n°28137 pour 500000euros ; Titulaire d'une carte RCP auprès de MMA N°120137405 dont 5.00 % honoraires TTC à la charge de l'acquéreur...Copropriété de 60 lots ()..... Charges annuelles : 1080 euros."
895;Appartement trois pièces en dernier étage de 60m2 situé en plein centre de Cannes à 300m de la Rue d'Antibes et de la mer.....Très lumineux et entièrement rénové, cet appartement offre :..une entrée, un salon avec cuisine ouverte aménagée/équipée, deux chambres, une salle de bain, un WC et une terrasse de 10m2.....Très belle vue dégagée que ce soit du côté terrasse ou du côté des chambres.....Contactez-moi !....Pour tous renseignements et visites, veuillez contacter monsieur PRUD'HOMME Michaël, agissant sous le statut d'agent commercial immatriculé au RSAC sous le n° 512145657 - Mandat n°242285..Prix : 590000 euros, honoraires à charge vendeur.....Téléphone : 07 64 42 68 70..E-mail : m.prudhomme@proprietes-privees.com....SAS PROPRIETES PRIVEES - Zac du Chêne Ferré - 44 allée des Cinq Continents 44120 VERTOU - Carte professionnelle CPI 4401 2016 000 010 388 CCI Nantes-Saint Nazaire. RC NANTES 487 624 777..Copropriété de 45 lots ()..... Charges annuelles : 3392 euros.
896;Le Cannet - secteur recherché - Superbe T3 ..En étage élevé dans une résidence sécurisée, proche de toutes commodités, agréable 3 pièces d'environ 74 m² sans vis à vis. ..Se compose d'un grand séjour/salle à manger de 34 m², d'une cuisine aménagée et équipée, de 2 chambres et d'une grande salle de bain. ..EXCELLENT ÉTAT ..Stationnement collectif et une cave complètent ce bien. ..Au plaisir de vous le faire découvrir. ..Mandat N° 68. Honoraires inclus de 3.78% TTC à la charge de l'acquéreur. Prix hors honoraires 238 000 euros. Dans une copropriété. Aucune procédure n'est en cours. Ce bien vous est proposé par un agent commercial. ..Votre conseiller MELLONE & GASTALDI PROPERTIES: Chantal Monaci - ..N° RSAC 872136944 .. RCP ACI15410.
897;Appartement standing 2 P en RDJ + 2 parkings....Gros coup de coeur pour cet appartement standing de 2 pièces en rez-de-jardin de 40 m2 dans une petite copropriété près du centre-ville et au calme absolu...Il se compose d'un salon/cuisine US équipée, d'une chambre avec douche à l'italienne, de toilettes indépendantes et d'une très grande terrasse de 70 m2 dotée d'une véranda démontable...Rénovation luxe, moderne d'un goût irréprochable. Ses prestations haut de gamme : chauffage au sol avec pompe à chaleur, store électrique, double vitrage, placard, accès handicapés, etc...Deux parkings complètent ce bien exceptionnel qui vous donnera la sensation de vivre en villa individuelle !..Visite virtuelle sur demande...Référence annonce : 1747..Les honoraires sont à la charge du vendeur....A propos de la copropriété :..Pas de procédure en cours..Nombre de lots : 12..Charges prévisionnelles annuelles : 600 €
898;Exclusivité LISNARD Immobilier - Lumineux 2 pièces au dernier étage composé d'une entrée avec placard, une cuisine américaine et salon ouverts sur terrasse. Une chambre et salle de bain avec toilettes. Résidence au calme, vue dégagée sur les collines. Contacter l'agence ou Florian au 06.17.87.95.95.
899;Exclusivité Lisnard Immobilier - Charmant Duplex style loft au premier et dernier étage d'une petite bâtisse avec seulement 27 € de charges par mois Grande pièce à vivre avec cuisine américaine entièrement équipée, salle de bains. A l'étage une grande chambre avec rangements. Un parking sécurisé avec portail automatique - Surface hors carrez 47 m² - Loi carrez 39,82 m². Contactez l'agence, Karin au 06 51 25 70 40.
900;Sublime 4 pièces de 92m2,dans l'ancienne Demeure de Guy de Maupassant. Entièrement rénové avec goût, au premier étage sans ascenseur. Un superbe appartement baigné dans la lumière. A l'entrée une cuisine Italienne de très grande qualité ouverte sur une belle pièce de vie, le tout donnant sur un balcon filant double exposition Sud/Nord. 3 belles chambres Une salle d'eaux Une salle de bain Un WC - indépendant Volets roulants électrique Stores électrique Une place de parking. A deux minutes de l'institut Stanislas. A huit minutes à pied de la plage A dix minutes de la gare. Taxe foncière 1350€. Charges 130€. Négociatrice Lydia Roussou Tel: 06 67 63 48 81 Agence BBii 04 97 22 24 83
901;CONSÉGUDES (arrière pays) -- 30 min de Carros -- Maison de village au calme !! À visiter !! Maison 3P en plein coeur du village qui se compose au rdc d'une cuisine américaine ouverte sur le séjour (14m²), avec un magnifique poële à bois, une salle d'eau, à l'étage 2 chambres (14m²) et une avec mezzanine (5m²). La maison est en bon état et habitable immédiatement. Elle peut être vendue meublée. Taxe foncière : 140€/an Taxe habitation : 150€/an Eau : 40€/trimestre Chauffage : poële à bois Electricité : 40€/mois (utilisation le week-end) Toiture refaite 2015 Bus 1/semaine Carrefour gratuitement Prix : 77 000€ HAI (Honoraires à la charge du vendeur) Contacter Pierre UGO 06 75 19 73 90 / Agence 04 97 22 24 83 / www.bbii.fr Conségudes - 30 min from Carros - Quiet village house - House 3P in the heart of the village of Conségudes which consists on the ground floor of an open kitchen on the living-room, with a beautiful wood stove, a bathroom, upstairs 2 bedrooms, one with a mezzanine. The house is in very good condition. Come visit !!
902;NICE CHEMIN DE LA COSTIERE VEND : Dans résidence sécurisée, proche écoles maternelles et primaires, beaucoup de charme pour ce 2/3P de 54 m², cuisine équipée et aménagée ouverte sur joli salon avec parquet, belle chambre, salle de bain spacieuse, WC séparé, bureau ou chambre bébé, AGRÉABLE VÉRANDA. Cave. EXCELLENT ETAT. CALME. BELLE OPPORTUNITÉ A SAISIR !!!! A VOIR RAPIDEMENT?! Garage en sus, à 5mn à pied de la résidence. Prix : 172 000€ (les honoraires agence sont à la charge du vendeur) DPE : D Charges annuelles : 1 800€ / Taxe foncière : 800€ Bien en copropriété : oui Nombre de lots : Procédure en cours : pas à notre connaissance Pour tout renseignement contacter Valentina Tripodi , Agent commercial, Siret n° 79796337800014, RSAC de Nice, téléphone : 06 11 91 85 26 ou valentina.tripodi06gmail.com Agence Bérenguer & Bérenguer Immobilier International www.bbii.fr 04.97.22.24.83
903;Nice rue des Potiers VEND : Grand F1 de 50m² au 1er étage dans un petit immeuble, au calme. Le bien se compose d'une entrée, d'une grande cuisine ouverte très fonctionnelle équipée et aménagée, d'un salon lumineux, d'une belle chambre donnant sur balcon, d'un grand dressing et d'un placard, d'une salle d'eau avec WC séparé. L'appartement peut être modifié en 2P. Très belle hauteur sous plafond. Électricité refaite à neuf. L'appartement est très bien agencé. Grande cave. Possibilité d'acheter un parking en sus situé à 50m de l'appartement. Prix : 207 000 euros honoraires à la charge du vendeur. Charges annuelles : 840€ / taxe foncière : 1 000€ DPE : en cours Bien en copropriété : oui Procédure en cours : non Nombre de lots : 30 Pour tout renseignement contacter Valentina Tripodi , Agent commercial, Siret n° 79796337800014, RSAC de Nice, téléphone : 06 11 91 85 26 ou valentina.tripodi06gmail.com Agence Bérenguer & Bérenguer Immobilier International www.bbii.fr 04.97.22.24.83
904;AVENUE DE LA CALIFORNIE / NICE VEND 2P RÉNOVÉ : L'appartement se compose d'une entrée avec placard, d'un salon donnant sur une terrasse, d'une chambre, d'une cuisine indépendante (possibilité US, à aménager), d'une salle de bain avec water closet. Très lumineux, exposition sud, à deux pas de la promenade des Anglais, tram au pied de l'immeuble. Possibilité garage en location 120€/mois. Cave. Beau potentiel. Prix : 254 000€ (les honoraires d'agence sont à la charge du vendeur) Charges annuelles : 1 512€ / Taxe foncière : 900€ Bien en copropriété : oui Nombre de lots : Procédure en cours : non DPE : en cours de réalisation Pour tout renseignement contacter Valentina Tripodi , Agent commercial, Siret n° 79796337800014, RSAC de Nice, téléphone : 06 11 91 85 26 ou valentina.tripodi06gmail.com Agence Bérenguer & Bérenguer Immobilier International www.bbii.fr 04.97.22.24.83
905;Beau studio de 33m² dans une copropriété récente - SAINT ANDRE DE LA ROCHE Cet appartement situé au 1er étage d'un immeuble de 2011, il est exposé OUEST. Il est pourvu d'une belle pièce à vivre de 27m² avec cuisine Américaine aménagée et équipée, une salle d'eau de 5m² avec Water closet Équipé de la climatisation réversible, double vitrage et fibre optique, videosurveillance dans l'immeuble, visiophone Possibilité d'une place de parking dans l'immeuble au prix de 10 000 € Pour plus d'informations, merci de contacter Mlle LAIGLE au 06 60 92 41 54 / 04 97 22 24 83
906;Dans une superbe résidence sécurisée au coeur du Val Fleuri ce très beau T3 de 58 m2 en parfait état ne vous laissera pas indifférent. Situé au sein d'un parc verdoyant et très calme, cet appartement climatisé qui a été récemment refait à neuf et équipé avec goût comprend un grand séjour très lumineux, une cuisine aménagée et intégralement équipée (frigo US inclus), deux jolies chambres, un dressing, une salle de bains et un WC. Chacune des pièces de vie s'ouvre sur une magnifique terrasse de 14m2. Il peut être vendu avec ou sans le mobilier qui est très récent (literie, rangements etc.). Une place de parking et une grande cave complètent ce bien. Charges annuelles : 2.280€ incluant chauffage et eau chaude. Prix : 272.000€ H.A.I. (Honoraires à la charge du vendeur) Pour tout renseignement / visite : Contacter Jean-Guillaume au 06.26.18.30.21 jg.avid3@gmail.com http://www.bbii.fr
907;Nous vous conseillons de demander à visiter dans un premier temps ce bien en visio conférence ! Notre conseiller reste disponible...WELMO, la 1ère agence immobilière en ligne, vous présente :..06400 CANNES - QUAI ST PIERRE- RESIDENCE FACE A LA MER..Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site WELMO avec la référence : 351IPu-8Nv..WELMO vous présente ce bel appartement de 52 m2 idéalement situé face au Quai Saint Pierre, proche des commodités, du Port et à 450m de la plage. Il comprend : une pièce de vie avec cuisine équipée ouverte, 2 chambres, une salle de bain avec WC...Nombre de lots :10..WELMO, commission de 7 990 € à la charge de l'acquéreur incluse dans le prix de vente affiché..Barèmes d’honoraires : https://welmo.fr/
908;....À La Turbie, maison individuelle, très lumineuse et spacieuse, entièrement....rénovée avec un studio indépendant, à deux pas du centre du village de la Turbie. Complètement au calme et dans un environnement verdoyant, vous tomberez sous le charme de cette maison. Composée d'un séjour/salle à manger avec une cuisine américaine équipée donnant sur le jardin, une salle de douche avec wc, 3 chambres donnant sur un balcon, une buanderie, une salle de bains avec wc. Le terrain se compose de deux belles planches, une piscine avec abri de jardin, un potager. Un très beau studio indépendant avec cuisine américaine et salle de douche et wc de 24m2. Pour compléter ce bien s'ajoute un grand garage et une cave Réf. annonce : 4363986............Obtenir l'adresse......Être rappelé......Demander une visite......
909;....Appartement à Sainte-Agnès Visite virtuelle possible en visio pendant le confinement..... Non, il ne s'agit pas d'un catalogue d'une fameuse enseigne d'ameublement, mais bel et bien d'un appartement, magnifiquement meublé et agencé, que nous vous proposons à la vente. Une pièce de vie lumineuse, avec cheminée, donnant sur une vue dégagée sur la mer et les montagnes. La chambre, sous les combles, avec vélux. Et pour clôturer le tout, une terrasse suspendue ... Le bien peut être vendu entièrement meublé. Investissement locatif, residence secondaire ou vie de village, ce bien s'adresse à tout type d'acquéreur. Pour plus d'information, n'hésitez pas à nous contacter. Réf. annonce : 4354877............Obtenir l'adresse......Être rappelé......Demander une visite......
910;Nous vous conseillons de demander à visiter dans un premier temps ce bien en visio conférence ! Notre conseiller reste disponible...WELMO, la 1ère agence immobilière en ligne, vous présente :..06400 CANNES - QUAI ST PIERRE- RESIDENCE FACE A LA MER..Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site WELMO avec la référence : 351IPu-8Nv..WELMO vous présente ce bel appartement de 52 m2 idéalement situé face au Quai Saint Pierre, proche des commodités, du Port et à 450m de la plage. Il comprend : une pièce de vie avec cuisine équipée ouverte, 2 chambres, une salle de bain avec WC...Nombre de lots :10..WELMO, commission de 7 990 € à la charge de l'acquéreur incluse dans le prix de vente affiché..Barèmes d’honoraires : https://welmo.fr/
911;06300 NICE - APPARTEMENT 2/3 PIÈCES - LE PORT - BOULEVARD CARNOT - BIEN A RÉNOVER IDÉAL INVESTISSEUR EffiCity, l'Agence immobilière qui estime votre bien en ligne vous propose dans une petite résidence bien entretenue de 2 étages cet appartement Bourgeois situé au 1er étage exposé SUD clair calme et bien agencé. L'appartement d'une superficie Loi Carrez de 60.2 m² se compose d'une entrée, d'un double séjour, d'une chambre avec espace de rangement, d'une cuisine aménagée et équipée fermée, d'un grand espace de rangement (buanderie), d'une salle de bain et d'un WC indépendant...Possibilité de transformer l'appartement en 3 pièces...Idéal investisseurs, ce bien est à remettre au gout du jour mais possède un réel potentiel car l'emplacement est idéale à 30 secondes à pied du Port de Nice...A proximité des commerces, des écoles et des transports...Mer à 1 minute à pied...efficity Société par Actions Simplifiée, au capital de 116 847 € -..Carte professionnelle CPI 7501 025 délivrée par la Préfecture de police de Paris -..Siège : 48 avenue de Villiers 75017 PARIS -..Garantie Financière CEGC pour un montant de 650000,00€ -..RCS : Paris 497617746 -..Geoffrey Vickers, agent commercial du réseau immobilier effiCity est inscrit au RSAC de Nice n°878209873..Ref annonce : 77661..Honoraires à la charge du vendeur. Barèmes d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf
912;SUQUET, 2 pièces de 37,51 m² Carrez entièrement rénové et meublé, comprenant un séjour avec cuisine américaine équipée, une chambre, une salle de bains avec wc. Situé à 800 m du Palais des Festivals. Idéal investissement locatif.
913;Appartement Nice Promenade des Anglais dans immeuble de standing avec gardien en étage élevé avec ascenseur, vaste Deux pièces avec terrasse de 8m², superbe vue mer depuis toutes les pièces, prévoir travaux, fort potentiel de transformation en 3 pièces. Cave...Toutes les commodités sont aux pieds de l'immeuble, centres universitaires, lignes de tram et à seulement 15mn à pied du centre ville...A visiter rapidement...Statut de copropriété nombre de lots : 61..Pas de procédure en cours à notre connaissance..Montant de la quote part de charges annuelles 2400€..DPE:E..Honoraires inclus à la charge du vendeur
